1000082	1000082
1000104	1000104
1000112	1000112
1000146	1000146
1000492	1000492
1000577	1000577
10014	10014
100213	100213
100272	100272
100278	100278
10030	10030
10046	10046
1005920	1005920
1005921	1005921
1006258	1006258
1006297	1006297
1006310	1006310
1006340	1006340
1006371	1006371
1006396	1006396
1006397	1006397
1006469	1006469
1006495	1006495
1006506	1006506
1006510	1006510
10079	10079
1009	1009
1009451	1009451
1010598	1010598
1010879	1010879
10109	10109
1010915	1010915
1010926	1010926
1010932	1010932
1010954	1010954
1010965	1010965
1010971	1010971
1010999	1010999
1011	1011
10110	10110
1011017	1011017
1011021	1011021
1011027	1011027
1011033	1011033
1011043	1011043
1011049	1011049
1011060	1011060
1011066	1011066
10114	10114
1011404	1011404
1011412	1011412
1011418	1011418
1011426	1011426
1011450	1011450
1011627	1011627
1011633	1011633
1011650	1011650
1012026	1012026
1012134	1012134
1012140	1012140
1012179	1012179
1012183	1012183
1012190	1012190
10122	10122
1012891	1012891
1012892	1012892
1013913	1013913
1013944	1013944
1014191	1014191
1014329	1014329
1014340	1014340
1014360	1014360
1014385	1014385
1014391	1014391
1014395	1014395
1014399	1014399
1014447	1014447
1014690	1014690
1014707	1014707
1014711	1014711
1014721	1014721
1014731	1014731
1014735	1014735
1014739	1014739
1014743	1014743
1014749	1014749
1014755	1014755
1014762	1014762
1014766	1014766
1014774	1014774
10154	10154
10156	10156
10159	10159
10167	10167
10169	10169
10171	10171
10172	10172
10179	10179
10180	10180
10184	10184
10188	10188
10193	10193
10205	10205
10207	10207
10223	10223
10231	10231
10237	10237
10240	10240
102490	102490
1025342	1025342
10255	10255
1028454	1028454
103	103
10323	10323
10324	10324
10328	10328
10337	10337
103468	103468
10349	10349
10355	10355
10362	10362
10368	10368
10369	10369
1037041	1037041
1037042	1037042
103755	103755
10379	10379
103866	103866
10390	10390
1039062	1039062
10391	10391
10395	10395
1040004	1040004
1040005	1040005
1040027	1040027
1040028	1040028
10402	10402
104123	104123
104125	104125
104129	104129
1043	1043
1043181	1043181
10432	10432
1043560	1043560
10438	10438
104416	104416
1044269	1044269
1044583	1044583
1044584	1044584
104463	104463
104466	104466
104485	104485
1044977	1044977
10454	10454
1045452	1045452
1045453	1045453
10456	10456
104592	104592
1046243	1046243
1047072	1047072
10472	10472
104728	104728
10473	10473
10485	10485
1049105	1049105
104966	104966
104973	104973
10498	10498
104994	104994
10502	10502
105069	105069
10510	10510
10524	10524
10528	10528
105443	105443
10553	10553
1056	1056
105669	105669
105694	105694
10572	10572
105745	105745
10580	10580
10582	10582
10591	10591
10594	10594
10600	10600
106029	106029
106101	106101
10612	10612
106212	106212
10627	10627
10633	10633
10634	10634
10635	10635
10636	10636
10637	10637
10689	10689
10691	10691
107044	107044
10734	10734
10737	10737
10753	10753
10756	10756
10759	10759
10761	10761
10763	10763
10767	10767
10772	10772
10773	10773
107770	107770
107771	107771
10795	10795
10798	10798
10800	10800
10803	10803
108088	108088
10811	10811
108118	108118
10814	10814
10824	10824
10825	10825
10827	10827
10829	10829
10834	10834
10847	10847
10849	10849
1085787	1085787
10865	10865
1086768	1086768
1086769	1086769
10869	10869
10878	10878
1088438	1088438
10890	10890
10898	10898
1091	1091
1091605	1091605
1091642	1091642
1091643	1091643
1091836	1091836
1092437	1092437
10938	10938
1094060	1094060
1094116	1094116
1094193	1094193
1094833	1094833
10962	10962
10975	10975
1098118	1098118
1098130	1098130
1098183	1098183
1098189	1098189
1098200	1098200
1098232	1098232
1098247	1098247
1098257	1098257
1098274	1098274
1098353	1098353
1098413	1098413
1098455	1098455
1098619	1098619
10989	10989
1099660	1099660
1099933	1099933
1099937	1099937
110	110
1100071	1100071
1100072	1100072
11002	11002
1100699	1100699
1101333	1101333
11017	11017
1102129	1102129
1102188	1102188
1102261	1102261
1102270	1102270
1102287	1102287
11065	11065
1110783	1110783
1111024	1111024
1111103	1111103
11115	11115
11118	11118
11121	11121
11124	11124
1112973	1112973
1112990	1112990
1114057	1114057
1114195	1114195
1114325	1114325
1114326	1114326
1114345	1114345
1114693	1114693
1114883	1114883
11149	11149
1115	1115
11153	11153
1116238	1116238
1116632	1116632
1116977	1116977
1116979	1116979
11170	11170
1117083	1117083
11194	11194
11198	11198
11199	11199
1119986	1119986
11202	11202
11203	11203
11246	11246
11248	11248
11251	11251
11253	11253
11256	11256
11258	11258
11274	11274
11289	11289
11295	11295
11327	11327
11359	11359
11377	11377
11404	11404
114052	114052
11413	11413
11416	11416
11417	11417
114194	114194
114200	114200
114202	114202
114203	114203
11423	11423
114289	114289
11431	11431
114477	114477
114527	114527
11454	11454
1145944	1145944
1145945	1145945
1147220	1147220
11473	11473
1147320	1147320
11476	11476
1148138	1148138
1148495	1148495
114934	114934
114970	114970
114979	114979
1150094	1150094
1150096	1150096
1151	1151
11516	11516
115238	115238
115264	115264
115265	115265
115552	115552
1156	1156
115698	115698
1157	1157
115713	115713
11636	11636
11645	11645
1169	1169
117055	117055
117466	117466
118463	118463
118886	118886
1191	1191
1191504	1191504
1192729	1192729
1192968	1192968
1192987	1192987
1192992	1192992
1192997	1192997
1193003	1193003
1193325	1193325
1193326	1193326
119565	119565
119771	119771
1202	1202
120608	120608
12062	12062
121191	121191
121243	121243
12166	12166
1218	1218
1219	1219
1223	1223
1225	1225
1227	1227
1232150	1232150
1232311	1232311
1232405	1232405
1232604	1232604
1232630	1232630
1232637	1232637
1235585	1235585
1236136	1236136
1242127	1242127
1242806	1242806
1242987	1242987
1242999	1242999
1243041	1243041
124323	124323
1244607	1244607
1246101	1246101
12488	12488
1251	1251
1251576	1251576
1256	1256
12574	12574
125918	125918
125921	125921
125929	125929
125933	125933
126291	126291
1272	1272
1291	1291
1291301	1291301
1291425	1291425
1291609	1291609
1292	1292
1292422	1292422
1293254	1293254
1293719	1293719
1294532	1294532
1294533	1294533
1294534	1294534
1294535	1294535
1294548	1294548
1294569	1294569
1294580	1294580
1294588	1294588
1294597	1294597
1294605	1294605
1294612	1294612
1294617	1294617
1294622	1294622
1294628	1294628
1294630	1294630
1294632	1294632
1294634	1294634
1297402	1297402
1297406	1297406
1297525	1297525
1297527	1297527
1297529	1297529
1297531	1297531
1297533	1297533
1297535	1297535
1297537	1297537
1297766	1297766
1297771	1297771
1297878	1297878
1297879	1297879
1297880	1297880
1297881	1297881
1297882	1297882
1298738	1298738
1298831	1298831
1298837	1298837
1298839	1298839
1298840	1298840
1298842	1298842
1298846	1298846
1298944	1298944
1298965	1298965
1299222	1299222
1299236	1299236
1299637	1299637
1299782	1299782
1299785	1299785
1299884	1299884
1299898	1299898
1299904	1299904
1299920	1299920
1299921	1299921
1299922	1299922
1299924	1299924
1299925	1299925
1299926	1299926
1299927	1299927
1299928	1299928
1299929	1299929
1299981	1299981
1300180	1300180
1300182	1300182
1300184	1300184
1300186	1300186
1300444	1300444
1300445	1300445
1300446	1300446
1300447	1300447
1300448	1300448
1300449	1300449
1300450	1300450
1300451	1300451
1300452	1300452
1300453	1300453
1300454	1300454
1300455	1300455
1300464	1300464
1300478	1300478
1300479	1300479
1300485	1300485
1300486	1300486
1300488	1300488
1300700	1300700
1300701	1300701
1300779	1300779
1300786	1300786
1300806	1300806
1302966	1302966
1303097	1303097
1303098	1303098
1304475	1304475
1304974	1304974
